Event Name,Event Time,Location,Club,Image URL,Event URL,Description,Host Organizations,First Host Org,Perks,Categories,Start Time,End Time
Fencing Practice,2025-02-23 15:00:00-05:00,CRC - MAC Courts,Fencing Club,https://se-images.campuslabs.com/clink/images/7a989998-65c0-463f-bc42-e36811ede136633e40fd-91b1-4e20-a5b0-fcf2b1598957.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10926793,"Join the Fencing Club in practicing footwork, blade work, and even training for tournaments. We welcome anyone of any skill level to come to practices, all you need to bring is yourself!",Fencing Club,Fencing Club,Credit,N/A,,2025-02-23 04:30:00
Brook Con Artist Alley Workshop,2025-02-23 14:00:00-05:00,SAC 311,Animated Perspectives,https://se-images.campuslabs.com/clink/images/d0110733-74cf-4b14-ae7b-9bc5abd6bdbdb4a5bbbb-b893-48e3-9bd8-a08a5944449d.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11071149,Brook Con Artist Alley Workshop,Animated Perspectives,Animated Perspectives,Credit,N/A,,2025-02-23 05:00:00
CASB: China Night Audition,2025-02-23 11:00:00-05:00,"SAC 302, SAC 303, SAC 304",Chinese Association at Stony Brook ,https://se-images.campuslabs.com/clink/images/f0cb10d3-bdc9-4d38-86ae-0321939722b63170fdca-c9ba-46fb-9c5d-a75755332572.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11061825,"💗 Get ready because ✨China Night ✨will be on Sunday, April 27th from 6-10PM. As a completely student run event, China Night features the talents ❣️of our diverse student body 📍You could be a part of:✮ Singing 🎤✮ Dance 🪩✮ Formal and Lingerie Modeling 💄✮ Acting 🎭✮ Props 🎨",Chinese Association at Stony Brook,Chinese Association at Stony Brook,Credit,N/A,,2025-02-23 06:00:00
Roller Hockey Practices (Spring Semester),2025-02-23 16:00:00-05:00,Rapid Fire Arena Inc,Roller Hockey,https://se-images.campuslabs.com/clink/images/6a596c06-4bf0-445e-bee9-f6088604ed314378c76f-3711-4098-9d73-3a4e282c4fb7.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10913769,Roller Hockey will be having team practice with coaches at Rapid Fire in Moriches.,Roller Hockey,Roller Hockey,Credit,Sporting/Athletic Program,,2025-02-23 06:00:00
SBU Roundnet Weekly Practices,2025-02-23 16:30:00-05:00,Rec and Wellness Center MAC Courts (basement),Roundnet at SBU,https://se-images.campuslabs.com/clink/images/218575dd-6b7e-4dd6-a75d-5875299c8d5b333bc29a-764d-463d-afd6-6c3475923816.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11028582,"SBU Roundnet Weekly Practices @ MAC Courts (basement of Rec)
Tuesday 2-3:30pm
Sunday 4:30-6pm",Roundnet at SBU,Roundnet at SBU,Credit,Sporting/Athletic Program,,2025-02-23 06:00:00
Sunday Catholic Mass,2025-02-23 17:00:00-05:00,Union Ballroom,Catholic Campus Ministries,https://se-images.campuslabs.com/clink/images/110a3480-5e68-4096-8e4a-d90bb5cd3e9f8b1ae471-0aa0-4e17-97cd-3ac4126b921c.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10185813,Join Catholic Campus Ministry for Sunday Mass at 5pm.,Catholic Campus Ministries,Catholic Campus Ministries,Credit,Religious Service / Celebration,,2025-02-23 06:00:00
Sunday Catholic Mass,2025-02-23 17:00:00-05:00,Union Ballroom,Catholic Campus Ministries,https://se-images.campuslabs.com/clink/images/110a3480-5e68-4096-8e4a-d90bb5cd3e9f8b1ae471-0aa0-4e17-97cd-3ac4126b921c.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10185812,Join Catholic Campus Ministry for Sunday Mass at 5pm.,Catholic Campus Ministries,Catholic Campus Ministries,Credit,Religious Service / Celebration,,2025-02-23 06:00:00
High C's Sunday Rehearsals,2025-02-23 16:00:00-05:00,SAC Rehearsal Space,High Cs,https://se-images.campuslabs.com/clink/images/54aed101-98bc-4da5-9db9-d17a4f6debcccaece2c9-5417-49ad-bb39-9d2456271b3e.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10827830,Weekly rehearsal for the High C's TTBB a cappella group to practice their repertoire.,High Cs,High Cs,Credit,N/A,,2025-02-23 07:00:00
Sunday Volleyball Club Practice,2025-02-23 18:00:00-05:00,Campus Recreation Center Wood Courts 2/3,Volleyball Club at SBU,https://se-images.campuslabs.com/clink/images/3084dfd0-6f59-4384-8d3a-5c61366dee7095f6c114-7f50-41c0-bc9c-005f81d35fdb.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10971408,"Come and play Volleyball with practices hosted by the Volleyball Club at the Campus Recreational Center! Every practice, we will be focusing on different aspects of the game, such as serve receive, attacking, setting, blocking, defense, game play, etc. Experienced players can come to refine their skills and beginner players can learn something new!
For specific information such as what is being taught on a specific day, unexpected cancellations, changes in plans (such as tryouts, clinics, or tournaments happening instead), etc, please follow our instagram @sbuvballor join our groupme chat linked in our instagram’s linktree.
Please show up in athletic attire!",Volleyball Club at SBU,Volleyball Club at SBU,Credit,N/A,,2025-02-23 07:30:00
Cricket Practice Session,2025-02-23 18:00:00-05:00,MAC Courts,Cricket Club at Stony Brook University,https://se-images.campuslabs.com/clink/images/baea359b-2397-4f24-bfc6-0d73f47a68b7a4b71577-6c03-4e20-bbe3-0867d64ad086.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11035725,Come play some cricket!!,Cricket Club at Stony Brook University,Cricket Club at Stony Brook University,Credit,Sporting/Athletic Program,,2025-02-23 07:30:00
HopperHacks X Awards,2025-02-23 18:00:00-05:00,SAC AUD,Women in Computer Science,,https://stonybrook.campuslabs.com/engage/event/10291864,"Join Us for the HopperHacks Award Ceremony!
After an exhilarating 24 hours of innovation, creativity, and collaboration at HopperHacks, it’s time to celebrate the outstanding achievements of our talented participants. The Women in Computer Science (WiCS) community is thrilled to invite you to the HopperHacks Award Ceremony, where we will honor the exceptional projects and present exciting prizes and raffles. Join us in recognizing the hard work, dedication, and creativity of all HopperHacks participants.",Women in Computer Science,Women in Computer Science,Credit,N/A,,2025-02-23 08:00:00
NJ Naach,2025-02-21 08:00:00-05:00,Patriots Theater at the War Memorial in Trenton,Raaswalas,https://se-images.campuslabs.com/clink/images/2269a339-0b1d-4c2d-9b91-1d2115f48d646e77eaa3-7767-4895-a468-e7b12a4bf600.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10767131,Dance competition hosted by Rutgers University.,Raaswalas,Raaswalas,Credit,N/A,,2025-02-23 10:00:00
CPAC 2025,2025-02-19 00:00:00-05:00,"Comfort Inn, Washington, D.C.",College Republicans,https://se-images.campuslabs.com/clink/images/4855f0d3-107a-404d-9b00-9f0cbace2ad079d0d4b7-c3fb-436f-9f6b-f0bd564875ce.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10906272,"Come join us on our annual trip to the Conservative Political Action Conference, held in Washington D.C.",College Republicans,College Republicans,Credit,"Career/Networking, Social Action",,2025-02-23 11:45:00
Birthright FREE trip to Israel tabling,2025-02-24 11:00:00-05:00,1st Floor Lobby,Stony Brook Hillel,https://se-images.campuslabs.com/clink/images/83e5c848-497a-42a2-b6ef-61fed805106d9c9c90dc-6047-48f2-a4bc-381f3ebc2c09.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10917414,Come learn and ask questions about the trip!,Stony Brook Hillel,Stony Brook Hillel,Credit,N/A,,2025-02-24 01:00:00
NSBE GBM 1: LEARN MORE ABOUT NSBE & CONFERENCES,2025-02-24 12:00:00-05:00,SAC 305,National Society of Black Engineers,https://se-images.campuslabs.com/clink/images/2d2584a8-533d-4074-8c96-b8e8480b0f6a252d7ccd-27e3-4716-9cb6-d1e016f09230.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11094180,"
Ever wondered what it’s like to attend a professional conference? Want to learn how to make the most out of the experience? Join us forNSBE’s first event of the semester—a Board Game Social!
📅Date:Monday, February 24th
🕧Time:12:30 PM – 1:30 PM
📍Location:SAC 305
Come hang out, play some board games, and enjoyfree pizza, snacks, and drinkswhile connecting with students who recently attended theBEYA Conference! They’ll be sharing insights on what to expect, how to prepare, and how conferences can open doors for networking and career opportunities.
This is also a great chance to learn more aboutNSBEand how we support students on campus. Whether you’re new to conferences or just looking to meet new people, we’d love to see you there!",National Society of Black Engineers,National Society of Black Engineers,Credit,N/A,,2025-02-24 01:00:00
Stud-Tea Sessions With Tau Beta Pi,2025-02-24 12:30:00-05:00,LIBRRY W4540,Tau Beta Pi The Engineering Honor Society,https://se-images.campuslabs.com/clink/images/02f512cd-38d2-484a-a858-0459a7ef1c0f7aa22bbe-a3a1-4241-8a31-272048eb6c1b.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11099783,Come join Tau Beta Pi for a weekly study session at the Melville Library!,Tau Beta Pi The Engineering Honor Society,Tau Beta Pi The Engineering Honor Society,Credit,N/A,,2025-02-24 01:30:00
Your Guide to Securing Campus Jobs,2025-02-24 12:30:00-05:00,SAC 306,Career Center,https://se-images.campuslabs.com/clink/images/ddf308af-e52f-4bf7-9b47-ecedc2972cad8e750dc9-4a39-42fe-9bb5-cbf6277e60d5.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10908489,"Register on Handshake

Are you eager to gain practical experience, earn extra income, and enhance your skillset while pursuing your education? Look no further! Our dynamic workshop, has been designed to equip you with the knowledge and strategies needed to successfully navigate the world of on-campus employment.",Career Center,Career Center,Credit,Career/Networking,,2025-02-24 01:30:00
President Alumni Panel,2025-02-24 12:30:00-05:00,Online,Finance Society at SBU,,https://stonybrook.campuslabs.com/engage/event/11091386,"Join the Finance Society for an exclusive president alumni panel, whereALLformer presidents of the Finance Society will share their experiences, career journeys, and their insights on professional development transitioning from students at Stony Brook into long-term positions!",Finance Society at SBU,Finance Society at SBU,Credit,"Virtual Event, Career/Networking",,2025-02-24 01:30:00
Tea and Talk,2025-02-24 12:30:00-05:00,SAC 303,Russian Corner,https://se-images.campuslabs.com/clink/images/c7fe70b6-afd3-40d0-950a-75a2d53057a0247243c2-3860-4af3-8042-afc475f77aea.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11077718,"Come by during campus lifetime hours to improve your Russian language skills with our e-board, or if you're interested in learning, we will hold casual Russian language learning lectures for all interested members. Enjoy a nice cup of chai (tea) while you chat and/or learn!",Russian Corner,Russian Corner,"Free Food, Credit",N/A,,2025-02-24 01:30:00
Week 4: SEA Club Leader Social,2025-02-24 12:30:00-05:00,Shore Club,Student Engagement & Activities,https://se-images.campuslabs.com/clink/images/b07e506d-b1fb-4486-9a21-988daea83a5192311af3-9de6-4d01-af33-773bec02b48e.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10983535,"Attention Student Club & Organization Leaders!

SEA is hosting a social for our incredible club leaders so you can meet, greet & mingle with fellow leaders, and encourage collaboration between your organizations!

Our fourth week of collaborations invites our Fraternities & Sororities, Cultural, & Sports Organizations for chats, games, and snacks in the Shore Club!",Student Engagement & Activities,Student Engagement & Activities,"Free Food, Credit",N/A,,2025-02-24 01:50:00
International Student Campus Lifetime,2025-02-24 12:30:00-05:00,"Union Ballroom, Stony Brook Union",The Office of Global Affairs,https://se-images.campuslabs.com/clink/images/78fb3534-93ee-4100-a401-9f00c4a86e055884fc7b-abaa-4fc0-9e15-a9c426ee9664.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10982050,"Join us during Campus Lifetime to meet new international students, make friends, and enjoy refreshments! This event will provide international students the space to socialize and have fun!
This month’s event will feature rock painting! All materials will be provided. Enjoy free food and fun!",The Office of Global Affairs,The Office of Global Affairs,"Free Food, Credit",N/A,,2025-02-24 02:00:00
Video Editing with Adobe Express,2025-02-24 14:00:00-05:00,Online,DoIT,https://se-images.campuslabs.com/clink/images/78d85800-4791-488e-880c-87d37690ea7d80c5a4f9-67c5-42d2-b52b-a2740c2c081b.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10801415,"Register here!
Teach user on how to edit video, and make it more interactive to audience.
In the session, you will:Be able to confidently identify the different types of key terms and concept of different types of video (cooking, education, gaming, advertisement)Familiarize themselves with the Adobe Express interface, including toolbars and panels.Gain necessary skills in trimming, applying visual effects, and adding transitions to video.Import and export media in different formats and ratios for each type of content.
Register here!",DoIT,DoIT,Credit,"Professional development/Leadership, Virtual Event, Career/Networking",,2025-02-24 03:30:00
Planned Parenthood Mobile Health Center at SBU,2025-02-24 10:00:00-05:00,SAC Faculty and Staff Parking Lot #13,Center for Prevention and Outreach,https://se-images.campuslabs.com/clink/images/d4a857c9-739f-4130-9322-b09e4fb694ae09a068d0-c41d-47ff-b7ac-5185d849eeae.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10785760,"Planned Parenthood Hudson Peconic is bringing their Mobile Health Center to SBU's Campus on
Monday February 10th 10am-4pm  AND Monday February 24th 10am-4pm
Join us in the SAC Faculty and Staff Parking Lot, Lot #13
No Appointments Needed! Walk Ins Welcome!
Visits available for:Birth Control
Emergency Contraception
STI testing and Treatment
Gender Affirming Care
Annual Wellness Exams
PrEP/PEP
HIV testing and treatment
Medication Abortion and More!",Center for Prevention and Outreach,Center for Prevention and Outreach,"Free Stuff, Credit",Health & Wellness,,2025-02-24 04:00:00
HSA Momo Fundraiser,2025-02-24 12:00:00-05:00,SAC LOBBY,Himalayan Student Association,https://se-images.campuslabs.com/clink/images/47e3d52f-4686-4a63-ab13-0a36a0584fb35b6ac05c-df38-40af-b9ff-2b116a008883.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11045459,HSA will be selling momos (Tibetan dumplings) to raise money,Himalayan Student Association,Himalayan Student Association,Credit,N/A,,2025-02-24 04:00:00
Community Wellness Walk with CPO,2025-02-24 15:00:00-05:00,Union Suite 108,Center for Prevention and Outreach,https://se-images.campuslabs.com/clink/images/eb8c50cd-71fb-4b8b-b336-e2350c050ea860eeda22-9571-4787-8e64-c7e3796a374b.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11084147,"Join CPO Peer educators and SBU community members for a one mile walk on campus every week!
Join us Monday February 24th from 3 to 4pm for one of our weekly wellness walks!
All abilities are invited, no experience necessary, no one gets left behind
Email prevention_outreach@stonybrook.edu for accessibility needs",Center for Prevention and Outreach,Center for Prevention and Outreach,Credit,Health & Wellness,,2025-02-24 04:00:00
Graduate Badminton - Club Hours,2025-02-24 15:00:00-05:00,MAC Courts,Graduate Badminton Union,https://se-images.campuslabs.com/clink/images/5d730f2c-3bf1-425c-8a79-dc80bd5dbbcbd38b27ea-6d33-48ca-8d54-ea59b3e1a641.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11063746,"NEW TO BADMINTON? Don't worry, join Graduate Badminton Union's weekly club timing. Meet new friends and improve your badminton skills. Sports wear is recommended. Please visit 30 minutes ahead during the net setup.
Club Hours
Location:MAC Courts (Basement of REC)",Graduate Badminton Union,Graduate Badminton Union,Credit,Sporting/Athletic Program,,2025-02-24 04:30:00
CPO Mini-Series: Coping + Resilience,2025-02-24 16:00:00-05:00,CPO (Union 108),Center for Prevention and Outreach,https://se-images.campuslabs.com/clink/images/2f9d3f84-f957-4771-b74f-88d5f19eec7eab33dad6-532a-44b9-b1e0-c1324d24db85.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10995617,"Resilience is built after successfully coping and adapting to challenging times.Join us as we explore how to develop coping skills and integrate strategies to help us bounce back from stress and other challenges.
Email prevention_outreach@stonybrook.edu for accessibility needs",Center for Prevention and Outreach,Center for Prevention and Outreach,Credit,Health & Wellness,,2025-02-24 05:00:00
A Deep Dive into The Dyatlov Pass Incident,2025-02-24 17:00:00-05:00,SAC 302,True Crime & Conspiracy Theories,https://se-images.campuslabs.com/clink/images/37f31c96-89a8-4b0b-b7d0-129c5226e42cfc7b2f89-ce8d-4cfd-9a35-909d40883913.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11095924,"Mixing crime and conspiracy, the Dyatlov Pass Incident is one of the most horrific and confusing unsolved cases in history. When a bunch of Soviet university students go hiking and don't return, their fate is unknown until bodies are found in gnarly states. Was this an act of nature? An act of man? or an act of something altogether supernatural? Come find out",True Crime & Conspiracy Theories,True Crime & Conspiracy Theories,Credit,N/A,,2025-02-24 05:45:00
Mindful Moments,2025-02-24 17:00:00-05:00,Center for Prevention and Outreach,Center for Prevention and Outreach,https://se-images.campuslabs.com/clink/images/01ce18d2-51be-47ea-a8d8-3391721c99a630176208-cfe5-430f-a4bd-9fa94f61d7ad.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11060527,"Research shows that people who practice mindfulness are happier, more motivated, more successful in relationships, have improved physical health, and experience less anxiety and depression.
With deep breathing exercises, we practice using our breath as a tool for relaxation. In this way, we witness negative thoughts gradually diminish, freeing us from the hold they have.
Join CPO Peer Educators in breathing away anxious thoughts to relax and calm the mind!
Email prevention_outreach@stonybrook.edu for accessibility needs.",Center for Prevention and Outreach,Center for Prevention and Outreach,"Free Stuff, Credit",Health & Wellness,,2025-02-24 06:00:00
Community Wellness Walk with CPO,2025-02-24 17:00:00-05:00,Union Suite 108,Center for Prevention and Outreach,https://se-images.campuslabs.com/clink/images/2cb38ba7-2ca9-4f79-b95e-40b65e69d18ad49ac54c-37a1-4d7e-bdca-3e01666324e2.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11055138,"Join CPO Peer educators and SBU community members for a one mile walk on campus every week!
Join us Monday February 24th from 5-6pm for one of our weekly wellness walks!
All abilities are invited, no experience necessary, no one gets left behind
Email prevention_outreach@stonybrook.edu for accessibility needs",Center for Prevention and Outreach,Center for Prevention and Outreach,Credit,Health & Wellness,,2025-02-24 06:00:00
GBM #9: :Anti-Aging,2025-02-24 18:00:00-05:00,SAC 304,Bioethics Society,,https://stonybrook.campuslabs.com/engage/event/11083543,"Join us for a thought-provoking discussion on the ethics and science of anti-aging research, exploring its implications for medicine, society, and longevity.",Bioethics Society,Bioethics Society,Credit,N/A,,2025-02-24 06:50:00
GBM 2: Game Night,2025-02-24 18:00:00-05:00,SAC 305,The Humanology Project,https://se-images.campuslabs.com/clink/images/c1d92855-e0cd-423e-ab9e-365950cff83276ff44b6-ea80-440a-ba79-2d96fa00bc9e.pdf?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11044789,"Join the Humanology Project on Monday, February 24th in SAC 305 from 6-7pm for a fun night of board games while learning about mental wellness!",The Humanology Project,The Humanology Project,Credit,Movies & Games,,2025-02-24 07:00:00
Game Night: Family Feud,2025-02-24 17:30:00-05:00,DeVries Center 200-202,LGBTQ* Services,https://se-images.campuslabs.com/clink/images/f189cf93-13e3-4129-a683-51463bf58a3af4610b76-8281-4a0a-ab55-9efa3b15d166.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11055301,"Join LGBTQ* Services for a fun-filled night of Family Feud, with answers provided by Stony Brook's very own student and alumni community! Whether you're a contestant or watching in the audience, you'll make a lot of fun memories. Snacks and refreshments will be provided, as well as prizes for Family Feud winners. RSVP now!",LGBTQ* Services,LGBTQ* Services,"Free Food, Credit",N/A,,2025-02-24 07:30:00
PPGA E-Board Meeting,2025-02-24 19:00:00-05:00,Union 203-11,Planned Parenthood Generation Action at Stony Brook University,https://se-images.campuslabs.com/clink/images/4b8ac7c4-ae2c-4f7d-8d2b-e8fa8b77f97716176846-5437-4d50-9519-c111f8ff3815.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10957362,"Planned Parenthood Generation Action executive board meeting to discuss upcoming GBMs, events, etc.!",Planned Parenthood Generation Action at Stony Brook University,Planned Parenthood Generation Action at Stony Brook University,Credit,N/A,,2025-02-24 07:50:00
Embroidery at SBU: GBM,2025-02-24 19:00:00-05:00,Library N3063,Embroidery at SBU,,https://stonybrook.campuslabs.com/engage/event/11040618,"Come by to work on your very own embroidery project. Personal fabric items are welcome, provided supplies are limited.",Embroidery at SBU,Embroidery at SBU,Credit,N/A,,2025-02-24 07:50:00
General Body Meeting,2025-02-24 19:00:00-05:00,Humanities Building,College Socialists,https://se-images.campuslabs.com/clink/images/a979a639-b42a-412e-b768-e3d205a89f6fdfdd17c8-8326-4d1e-875c-fe27431d4d61.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10957392,"The General Body Meeting for the College Socialists of Stony Brook University! Subject matter for each meeting can vary from general political advocacy, and political education, to campus activism. Come on right in!",College Socialists,College Socialists,Credit,"Social Action, Disability/Ability Awareness, Civic Engagement",,2025-02-24 07:50:00
