title,location,image,link,details,hosts,main_host,Perks,categories,start,end
Resume Building with Google Docs,Online,https://se-images.campuslabs.com/clink/images/6e4372bb-5dfe-487e-a940-99d5c47e2296092efefd-5311-4265-a765-ad56195bca0a.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11096934,"Register Here! The workshop will cover various aspects of resume building, from formatting and content organization to tailoring resumes for specific job opportunities. In this interactive workshop, participants will gain the essential skills and knowledge needed to teach students how to create an effective and impressive resume using Google Docs. In the session, you will: Gain the essential skills and knowledge needed to teach students how to create an effective and impressive resume using Google Docs. Register Here! https: //stonybrook. zoom. us/j/91072139152? pwd=Z0xuRzNXVmpSRVN3aEVMOFdXUU5sZz09",DoIT,DoIT,Credit,"Professional development/Leadership, Virtual Event, Career/Networking",1740340800,1740344400
Weekly SBU Kendo Practice,Wood Court #3 in Recreation Center,https://se-images.campuslabs.com/clink/images/658f9509-7802-447d-a1fe-518d7cd2e659ed42a23c-da0e-416f-b69f-d84844673f2b.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11007079,"Weekly SBU kendo practice on Wood Court #3. No experience is needed, everyone is welcome. All equipment will be provided.",Kendo Club at SBU,Kendo Club at SBU,Credit,Sporting/Athletic Program,1740340800,1740346200
Fencing Practice,CRC - MAC Courts,https://se-images.campuslabs.com/clink/images/7a989998-65c0-463f-bc42-e36811ede136633e40fd-91b1-4e20-a5b0-fcf2b1598957.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10926793,"Join the Fencing Club in practicing footwork, blade work, and even training for tournaments. We welcome anyone of any skill level to come to practices, all you need to bring is yourself!",Fencing Club,Fencing Club,Credit,,1740340800,1740346200
Brook Con Artist Alley Workshop,SAC 311,https://se-images.campuslabs.com/clink/images/d0110733-74cf-4b14-ae7b-9bc5abd6bdbdb4a5bbbb-b893-48e3-9bd8-a08a5944449d.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11071149,Brook Con Artist Alley Workshop,Animated Perspectives,Animated Perspectives,Credit,,1740337200,1740348000
CASB: China Night Audition,"SAC 302, SAC 303, SAC 304",https://se-images.campuslabs.com/clink/images/f0cb10d3-bdc9-4d38-86ae-0321939722b63170fdca-c9ba-46fb-9c5d-a75755332572.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11061825,"💗 Get ready because ✨China Night ✨will be on Sunday, April 27th from 6 - 10PM. As a completely student run event, China Night features the talents ❣️of our diverse student body 📍You could be a part of: ✮ Singing 🎤✮ Dance 🪩✮ Formal and Lingerie Modeling 💄✮ Acting 🎭✮ Props 🎨",Chinese Association at Stony Brook,Chinese Association at Stony Brook,Credit,,1740326400,1740351600
Roller Hockey Practices (Spring Semester),Rapid Fire Arena Inc,https://se-images.campuslabs.com/clink/images/6a596c06-4bf0-445e-bee9-f6088604ed314378c76f-3711-4098-9d73-3a4e282c4fb7.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10913769,Roller Hockey will be having team practice with coaches at Rapid Fire in Moriches.,Roller Hockey,Roller Hockey,Credit,Sporting/Athletic Program,1740344400,1740351600
SBU Roundnet Weekly Practices,Rec and Wellness Center MAC Courts (basement),https://se-images.campuslabs.com/clink/images/218575dd-6b7e-4dd6-a75d-5875299c8d5b333bc29a-764d-463d-afd6-6c3475923816.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11028582,SBU Roundnet Weekly Practices @ MAC Courts (basement of Rec) Tuesday 2 - 3: 30pm Sunday 4: 30 - 6pm,Roundnet at SBU,Roundnet at SBU,Credit,Sporting/Athletic Program,1740346200,1740351600
Competitive Dodgeball Club Practice,Campus Recreation Center Wood Court #3,https://se-images.campuslabs.com/clink/images/63c7e11f-1220-48fa-894c-3e681c613d58500f2362-e6ae-45cf-8bde-31e9173e546d.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10971352,Join us in the Rec Center Wood Courts for an open competitive practice to improve your skills and work towards traveling to compete in intercollegiate tournaments with official rules! *Competitive practices are open to all interested players of any gender or skill level but are more intense and focused. Find our regular practices for more casual and fun dodgeball!,Dodgeball Club,Dodgeball Club,Credit,Sporting/Athletic Program,1740346200,1740351600
Sunday Catholic Mass,Union Ballroom,https://se-images.campuslabs.com/clink/images/110a3480-5e68-4096-8e4a-d90bb5cd3e9f8b1ae471-0aa0-4e17-97cd-3ac4126b921c.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10185813,Join Catholic Campus Ministry for Sunday Mass at 5pm.,Catholic Campus Ministries,Catholic Campus Ministries,Credit,Religious Service / Celebration,1740348000,1740351600
Sunday Catholic Mass,Union Ballroom,https://se-images.campuslabs.com/clink/images/110a3480-5e68-4096-8e4a-d90bb5cd3e9f8b1ae471-0aa0-4e17-97cd-3ac4126b921c.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10185812,Join Catholic Campus Ministry for Sunday Mass at 5pm.,Catholic Campus Ministries,Catholic Campus Ministries,Credit,Religious Service / Celebration,1740348000,1740351600
Tennis Club - Long Beach Tennis Center Invitational,Long Beach Tennis Center,https://se-images.campuslabs.com/clink/images/c958428e-f294-4de4-aee1-bbcb9e98d37b5d6c9eb0-7a74-4e88-b81e-892681ff8f4e.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11076733,The tennis club competitive team will be playing at Long Beach Tennis Center for the NYS college invitational championship. Please visit ourclub websiteand view our weekly newsletter for more information in the Linktree below. https: //linktr. ee/sbutennisclub,Tennis Club,Tennis Club,Credit,,1740150000,1740351600
Squid Games the Experience NYC Trip,"111 W 32nd St, New York, NY 10001",https://se-images.campuslabs.com/clink/images/87a3b331-1f9a-4529-a33e-797ec57da986dd8b52a8-4498-4571-a9cd-d6fc1506bb52.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10719734,"You’ve seen Squid Game on Netflix, now play it in real life. Battle through five intense challenges inspired by the show: outsmart the eerie Young - hee doll in Red Light Green Light, test your nerves on the treacherous Glass Bridge, and go all - out in the epic Warships game. Fight for your VIP spot, but remember—the game shows no mercy. And there's more! Unwind and indulge at our Korean - inspired Night Market. Join us for a trip to theSquid Games the Experienceon Sunday, February 23rd, 2025. A ticket for this trip will include access to the experience & round - trip transportation. The bus will pick up students from Stony Brook Union at 9: 30 am and depart the city around 5: 00 pm. There will be time to explore around the city before departure. All students must utilize the provided transportation to & from unless approved by the trip chaperone the day of. Tickets for undergraduate students are $25 and for graduate students are $35. 00. Tickets go on sale, on Monday, February 10th at 9 am. Click here to buy tickets! Tickets are non - transferable and non - refundable. Failure to attend the event after registration may result in suspension from future off - campus trips. If you have any questions, please emailbeyondthebrook@stonybrook. edu",Student Engagement & Activities,Student Engagement & Activities,Credit,Beyond the Brook- Off Campus Trips,1740319200,1740355200
High C's Sunday Rehearsals,SAC Rehearsal Space,https://se-images.campuslabs.com/clink/images/54aed101-98bc-4da5-9db9-d17a4f6debcccaece2c9-5417-49ad-bb39-9d2456271b3e.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10827830,Weekly rehearsal for the High C's TTBB a cappella group to practice their repertoire.,High Cs,High Cs,Credit,,1740344400,1740355200
Sunday Volleyball Club Practice,Campus Recreation Center Wood Courts 2/3,https://se-images.campuslabs.com/clink/images/3084dfd0-6f59-4384-8d3a-5c61366dee7095f6c114-7f50-41c0-bc9c-005f81d35fdb.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10971408,"Come and play Volleyball with practices hosted by the Volleyball Club at the Campus Recreational Center! Every practice, we will be focusing on different aspects of the game, such as serve receive, attacking, setting, blocking, defense, game play, etc. Experienced players can come to refine their skills and beginner players can learn something new! For specific information such as what is being taught on a specific day, unexpected cancellations, changes in plans (such as tryouts, clinics, or tournaments happening instead), etc, please follow our instagram @sbuvballor join our groupme chat linked in our instagram’s linktree. Please show up in athletic attire!",Volleyball Club at SBU,Volleyball Club at SBU,Credit,,1740351600,1740357000
Cricket Practice Session,MAC Courts,https://se-images.campuslabs.com/clink/images/baea359b-2397-4f24-bfc6-0d73f47a68b7a4b71577-6c03-4e20-bbe3-0867d64ad086.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11035725,Come play some cricket! !,Cricket Club at Stony Brook University,Cricket Club at Stony Brook University,Credit,Sporting/Athletic Program,1740351600,1740357000
HopperHacks X Awards,SAC AUD,,https://stonybrook.campuslabs.com/engage/event/10291864,"Join Us for the HopperHacks Award Ceremony! After an exhilarating 24 hours of innovation, creativity, and collaboration at HopperHacks, it’s time to celebrate the outstanding achievements of our talented participants. The Women in Computer Science (WiCS) community is thrilled to invite you to the HopperHacks Award Ceremony, where we will honor the exceptional projects and present exciting prizes and raffles. Join us in recognizing the hard work, dedication, and creativity of all HopperHacks participants.",Women in Computer Science,Women in Computer Science,Credit,,1740351600,1740358800
SBAAU Ice Hockey PLAYOFFS,The Rinks at the Sports Center:,https://se-images.campuslabs.com/clink/images/c9572c03-3703-4b30-8d38-3e27de4885b5fc21dd1f-83c2-4b5b-ac2c-adfa6b89833d.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10962003,The Stony Brook AAU Ice Hockey team heads to Connecticut for the Empire Conference Playoffs!,Stony Brook AAU Ice Hockey ,Stony Brook AAU Ice Hockey ,Credit,Sporting/Athletic Program,1740157200,1740358800
Spring Ball 2025,SAC Ballroom A,https://se-images.campuslabs.com/clink/images/75405a6a-82e9-4aec-bc0f-c8cfb28af73c3626f902-7179-4279-a8dd-fc9dc2d34e65.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11040281,"The Indian Graduate Student Association (IGSA) at Stony Brook University is thrilled to present theSpring Ball 2025on February 23, 2025. This exciting event will bring together around 350 students, faculty, and staff for a night of celebration, music, and community building. Guests will enjoy a lively atmosphere with a mix of contemporary dance music and popular hits, perfect for dancing the night away. A diverse selection of delicious food will be provided to cater to all tastes. Attendees are encouraged to dress in semi - formal or formal attire for the evening. The Spring Ball offers a fantastic opportunity to connect with peers, enjoy great music, and have a memorable time with the Stony Brook University community.",Indian Graduate Student Association,Indian Graduate Student Association,"Free Food, Credit",Performance,1740353400,1740366000
NJ Naach,Patriots Theater at the War Memorial in Trenton,https://se-images.campuslabs.com/clink/images/2269a339-0b1d-4c2d-9b91-1d2115f48d646e77eaa3-7767-4895-a468-e7b12a4bf600.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10767131,Dance competition hosted by Rutgers University.,Raaswalas,Raaswalas,Credit,,1740142800,1740366000
CPAC 2025,"Comfort Inn, Washington, D.C.",https://se-images.campuslabs.com/clink/images/4855f0d3-107a-404d-9b00-9f0cbace2ad079d0d4b7-c3fb-436f-9f6b-f0bd564875ce.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10906272,"Come join us on our annual trip to the Conservative Political Action Conference, held in Washington D. C.",College Republicans,College Republicans,Credit,"Career/Networking, Social Action",1739941200,1740372300
72nd USHA 4-Wall National Collegiate Championship,"Multnomah Athletic Club - Portland, Oregon",https://se-images.campuslabs.com/clink/images/d4b81638-96a6-4fa5-8c70-a8dac59986e51aae0c96-28f8-4b52-a955-541e87ec6770.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10228213,"The SBU Handball club will be renting out cars for transportation in Portland, Oregon for a national 4 - wall Handball tournament. The team will be staying at a nearby hotel throughout the entire tournament. The club participates in this trip every spring semester, the tournament locations have ranged from Texas, North Carolina, Missouri, Arizona, Minneapolis and now Oregon.",Handball Club,Handball Club,Credit,,1739793600,1740398400
Birthright FREE trip to Israel tabling,1st Floor Lobby,https://se-images.campuslabs.com/clink/images/83e5c848-497a-42a2-b6ef-61fed805106d9c9c90dc-6047-48f2-a4bc-381f3ebc2c09.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10917414,Come learn and ask questions about the trip!,Stony Brook Hillel,Stony Brook Hillel,Credit,,1740412800,1740420000
NSBE GBM 1: LEARN MORE ABOUT NSBE & CONFERENCES,SAC 305,https://se-images.campuslabs.com/clink/images/2d2584a8-533d-4074-8c96-b8e8480b0f6a252d7ccd-27e3-4716-9cb6-d1e016f09230.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11094180,"Ever wondered what it’s like to attend a professional conference? Want to learn how to make the most out of the experience? Join us forNSBE’s first event of the semester—a Board Game Social! 📅Date: Monday, February 24th 🕧Time: 12: 30 PM – 1: 30 PM 📍Location: SAC 305 Come hang out, play some board games, and enjoyfree pizza, snacks, and drinkswhile connecting with students who recently attended theBEYA Conference! They’ll be sharing insights on what to expect, how to prepare, and how conferences can open doors for networking and career opportunities. This is also a great chance to learn more aboutNSBEand how we support students on campus. Whether you’re new to conferences or just looking to meet new people, we’d love to see you there!",National Society of Black Engineers,National Society of Black Engineers,Credit,,1740416400,1740420000
Stud-Tea Sessions With Tau Beta Pi,LIBRRY W4540,https://se-images.campuslabs.com/clink/images/02f512cd-38d2-484a-a858-0459a7ef1c0f7aa22bbe-a3a1-4241-8a31-272048eb6c1b.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11099783,Come join Tau Beta Pi for a weekly study session at the Melville Library!,Tau Beta Pi The Engineering Honor Society,Tau Beta Pi The Engineering Honor Society,Credit,,1740418200,1740421800
Your Guide to Securing Campus Jobs,SAC 306,https://se-images.campuslabs.com/clink/images/ddf308af-e52f-4bf7-9b47-ecedc2972cad8e750dc9-4a39-42fe-9bb5-cbf6277e60d5.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10908489,"Register on Handshake Are you eager to gain practical experience, earn extra income, and enhance your skillset while pursuing your education? Look no further! Our dynamic workshop, has been designed to equip you with the knowledge and strategies needed to successfully navigate the world of on - campus employment.",Career Center,Career Center,Credit,Career/Networking,1740418200,1740421800
President Alumni Panel,Online,,https://stonybrook.campuslabs.com/engage/event/11091386,"Join the Finance Society for an exclusive president alumni panel, whereALLformer presidents of the Finance Society will share their experiences, career journeys, and their insights on professional development transitioning from students at Stony Brook into long - term positions!",Finance Society at SBU,Finance Society at SBU,Credit,"Virtual Event, Career/Networking",1740418200,1740421800
Tea and Talk,SAC 303,https://se-images.campuslabs.com/clink/images/c7fe70b6-afd3-40d0-950a-75a2d53057a0247243c2-3860-4af3-8042-afc475f77aea.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11077718,"Come by during campus lifetime hours to improve your Russian language skills with our e - board, or if you're interested in learning, we will hold casual Russian language learning lectures for all interested members. Enjoy a nice cup of chai (tea) while you chat and/or learn!",Russian Corner,Russian Corner,"Free Food, Credit",,1740418200,1740421800
Week 4: SEA Club Leader Social,Shore Club,https://se-images.campuslabs.com/clink/images/b07e506d-b1fb-4486-9a21-988daea83a5192311af3-9de6-4d01-af33-773bec02b48e.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10983535,"Attention Student Club & Organization Leaders! SEA is hosting a social for our incredible club leaders so you can meet, greet & mingle with fellow leaders, and encourage collaboration between your organizations! Our fourth week of collaborations invites our Fraternities & Sororities, Cultural, & Sports Organizations for chats, games, and snacks in the Shore Club!",Student Engagement & Activities,Student Engagement & Activities,"Free Food, Credit",,1740418200,1740423000
International Student Campus Lifetime,"Union Ballroom, Stony Brook Union",https://se-images.campuslabs.com/clink/images/78fb3534-93ee-4100-a401-9f00c4a86e055884fc7b-abaa-4fc0-9e15-a9c426ee9664.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10982050,"Join us during Campus Lifetime to meet new international students, make friends, and enjoy refreshments! This event will provide international students the space to socialize and have fun! This month’s event will feature rock painting! All materials will be provided. Enjoy free food and fun!",The Office of Global Affairs,The Office of Global Affairs,"Free Food, Credit",,1740418200,1740423600
USG Spring Budget Weekend Training,Online,https://se-images.campuslabs.com/clink/images/8538f323-9913-46db-8117-82fb13d72b1e14e222cd-276e-44f8-81b2-f57d7666ccdf.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11090270,Come join us to learn more about Spring Budget Weekend! This is only applicable for clubs with line budget status only! Here is thezoom link.,Undergraduate Student Government ,Undergraduate Student Government ,Credit,,1740420000,1740423600
SF4M GBM!,Student Union L06-08,https://se-images.campuslabs.com/clink/images/3efd913d-0359-4b1f-bece-d73992369d722d401bee-e2a5-4ed2-81c8-6c95b3b77938.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11007480,"The Science Fiction Forums weekly general body meeting! Come on down to see how we run, and stay after to hang out with all of our members!",Science Fiction Forum,Science Fiction Forum,Credit,,1740420000,1740423600
USG Elections Informational Session,"Student Activities Center, RM 223",https://se-images.campuslabs.com/clink/images/44ff53f6-71d6-4b19-a225-2f035e327091b0c70ead-9043-4d8b-81c0-ae98d2f475b0.pdf?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11056322,"Are you interested in running to become an Undergraduate Student Government leader? Or maybe being a part of planning campus traditions like Wolfieland and Roth Regatta? Do you have an initiative you want to get started on campus? Then get ready, the USG spring elections are HERE️! Stop by in one of our MANY informational sessions to learn about our organization's different positions and offices! Potential candidates must attend one of the informational sessions to receive the intent form. If you have any questions, make sure to reach out to usg_elections@stonybrook. edu or usg_communications@stonybrook. edu",Undergraduate Student Government ,Undergraduate Student Government ,Credit,,1740420000,1740423600
Video Editing with Adobe Express,Online,https://se-images.campuslabs.com/clink/images/78d85800-4791-488e-880c-87d37690ea7d80c5a4f9-67c5-42d2-b52b-a2740c2c081b.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10801415,"Register here! Teach user on how to edit video, and make it more interactive to audience. In the session, you will: Be able to confidently identify the different types of key terms and concept of different types of video (cooking, education, gaming, advertisement)Familiarize themselves with the Adobe Express interface, including toolbars and panels. Gain necessary skills in trimming, applying visual effects, and adding transitions to video. Import and export media in different formats and ratios for each type of content. Register here!",DoIT,DoIT,Credit,"Professional development/Leadership, Virtual Event, Career/Networking",1740423600,1740429000
Planned Parenthood Mobile Health Center at SBU,SAC Faculty and Staff Parking Lot #13,https://se-images.campuslabs.com/clink/images/d4a857c9-739f-4130-9322-b09e4fb694ae09a068d0-c41d-47ff-b7ac-5185d849eeae.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10785760,"Planned Parenthood Hudson Peconic is bringing their Mobile Health Center to SBU's Campus on Monday February 10th 10am - 4pm AND Monday February 24th 10am - 4pm Join us in the SAC Faculty and Staff Parking Lot, Lot #13 No Appointments Needed! Walk Ins Welcome! Visits available for: Birth Control Emergency Contraception STI testing and Treatment Gender Affirming Care Annual Wellness Exams PrEP/PEP HIV testing and treatment Medication Abortion and More!",Center for Prevention and Outreach,Center for Prevention and Outreach,"Free Stuff, Credit",Health & Wellness,1740409200,1740430800
HSA Momo Fundraiser,SAC LOBBY,https://se-images.campuslabs.com/clink/images/47e3d52f-4686-4a63-ab13-0a36a0584fb35b6ac05c-df38-40af-b9ff-2b116a008883.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11045459,HSA will be selling momos (Tibetan dumplings) to raise money,Himalayan Student Association,Himalayan Student Association,Credit,,1740416400,1740430800
Community Wellness Walk with CPO,Union Suite 108,https://se-images.campuslabs.com/clink/images/eb8c50cd-71fb-4b8b-b336-e2350c050ea860eeda22-9571-4787-8e64-c7e3796a374b.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11084147,"Join CPO Peer educators and SBU community members for a one mile walk on campus every week! Join us Monday February 24th from 3 to 4pm for one of our weekly wellness walks! All abilities are invited, no experience necessary, no one gets left behind Email prevention_outreach@stonybrook. edu for accessibility needs",Center for Prevention and Outreach,Center for Prevention and Outreach,Credit,Health & Wellness,1740427200,1740430800
Graduate Badminton - Club Hours,MAC Courts,https://se-images.campuslabs.com/clink/images/5d730f2c-3bf1-425c-8a79-dc80bd5dbbcbd38b27ea-6d33-48ca-8d54-ea59b3e1a641.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11063746,"NEW TO BADMINTON? Don't worry, join Graduate Badminton Union's weekly club timing. Meet new friends and improve your badminton skills. Sports wear is recommended. Please visit 30 minutes ahead during the net setup. Club Hours Location: MAC Courts (Basement of REC)",Graduate Badminton Union,Graduate Badminton Union,Credit,Sporting/Athletic Program,1740427200,1740432600
CPO Mini-Series: Coping + Resilience,CPO (Union 108),https://se-images.campuslabs.com/clink/images/2f9d3f84-f957-4771-b74f-88d5f19eec7eab33dad6-532a-44b9-b1e0-c1324d24db85.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10995617,Resilience is built after successfully coping and adapting to challenging times. Join us as we explore how to develop coping skills and integrate strategies to help us bounce back from stress and other challenges. Email prevention_outreach@stonybrook. edu for accessibility needs,Center for Prevention and Outreach,Center for Prevention and Outreach,Credit,Health & Wellness,1740430800,1740434400
A Deep Dive into The Dyatlov Pass Incident,SAC 302,https://se-images.campuslabs.com/clink/images/37f31c96-89a8-4b0b-b7d0-129c5226e42cfc7b2f89-ce8d-4cfd-9a35-909d40883913.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11095924,"Mixing crime and conspiracy, the Dyatlov Pass Incident is one of the most horrific and confusing unsolved cases in history. When a bunch of Soviet university students go hiking and don't return, their fate is unknown until bodies are found in gnarly states. Was this an act of nature? An act of man? or an act of something altogether supernatural? Come find out",True Crime & Conspiracy Theories,True Crime & Conspiracy Theories,Credit,,1740434400,1740437100
