Event Name,Event Time,Location,Club,Image URL,Event URL,Description,Host Organizations,First Host Org,Perks,Categories,Start Time,End Time
Cardboard Drive for Wolfiethon,"Thursday, February 20 at 12:00PM EST",Chavez Hall,Chávez Tubman and Nobel Community,https://se-images.campuslabs.com/clink/images/7f329f27-4666-4986-9dd8-2d6e67d6f554c2eac34e-4542-44b8-9a6f-8ecf6a89c853.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11079323,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Tune In & Win - Prize Bingo,"Thursday, March 20 at 7:00PM EDT",West MPR,Unknown Club,https://se-images.campuslabs.com/clink/images/6de5a09e-d813-46ac-a7ba-83baca4368f03ebc2c01-c9b9-4de2-9662-db83f48b4cd7.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11095293,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Music Check In,"Friday, March 21 at 1:00PM EDT",WUSB Radio Station - 2nd Floor of West Side Dining,WUSB,https://se-images.campuslabs.com/clink/images/d6ae8dcf-fa64-4813-a37a-76ce81b7d3fcdb05db23-b6ef-42b5-b548-8ff8deb2995f.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11087586,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
High Tide Tournament 2025,"Saturday, March 15 at 7:00AM EDT",North Myrtle Beach Sports Complex,Ultimate Frisbee,https://se-images.campuslabs.com/clink/images/b2984c0a-a89d-42ed-a788-3c7addb446b0e0b83e94-d782-4cca-aceb-5d0ce924b0bb.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10743835,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Zuccaire Gallery Evening Hours,"Friday, March 21 at 7:00PM EDT",Paul W. Zuccaire gallery,Unknown Club,https://se-images.campuslabs.com/clink/images/1b9e6e4f-05fa-4a20-a582-5c5c4c8bcec3b64b07a0-2c79-4ab9-a4a6-9bd25a87708b.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11062164,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Kick Boxing Practice,"Friday, March 21 at 7:00PM EDT","Studio 128, Recreation Center",Kickboxing Club,https://se-images.campuslabs.com/clink/images/5a003535-c32a-4d71-b18d-787fec04e0daee8e5504-96ea-4f19-a88f-458d8e652e98.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11006604,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Solve it Squad Rehearsals,"Friday, March 21 at 7:00PM EDT",Staller 3218,Pocket Theatre,https://se-images.campuslabs.com/clink/images/9dea9a64-f7f9-4fc0-9a95-55d8be24d5575e0a5495-b322-49ff-bb35-a9f925f51465.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11087494,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Rhythm India: Bollywood & Beyond - Limited free tickets for SBU students,"Friday, March 21 at 8:00PM EDT",Staller Center for the Arts,Staller Center for the Arts,https://se-images.campuslabs.com/clink/images/0cec1d69-f1b9-492f-977c-b94dcfc878b0f48cdef6-caa5-44c4-88e5-44d76661ff44.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10675977,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Movie Night,"Friday, March 21 at 8:00PM EDT",Wagner Lounge,Roosevelt Community,https://se-images.campuslabs.com/clink/images/69dc5b57-2767-4cee-b33f-3755243e42430e0ce6af-f86c-4a7b-b57b-577ce2d46526.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10994908,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Banff/Sunshine Resort Spring Break Trip,"Saturday, March 15 at 12:00PM EDT",Banff Sunshine Village Ski & Snowboard Resort,Ski and Snowboard Club at Stony Brook,https://se-images.campuslabs.com/clink/images/99ff93d1-8ca8-4814-b0d9-66d8832678de2d9822cd-2553-461d-a968-fda59c031dd2.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10703940,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Roller Hockey Practices (Spring Semester),"Saturday, March 22 at 1:00PM EDT",Rapid Fire Arena Inc,Roller Hockey,https://se-images.campuslabs.com/clink/images/6a596c06-4bf0-445e-bee9-f6088604ed314378c76f-3711-4098-9d73-3a4e282c4fb7.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10913772,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
ASBO Spring Break Trip,"Sunday, March 16 at 8:00AM EDT","Georgetown, DE",Alternative Spring Break Outreach,https://se-images.campuslabs.com/clink/images/6e811934-804f-407b-985e-aa4e30344c5a87602bab-ea37-41a6-ae9b-74042ed289cd.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10720262,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Crew at Stony Brook University - Spring Break Training Trip!,"Saturday, March 15 at 7:30AM EDT",Lake Lanier Rowing Club,Crew at Stony Brook University,https://se-images.campuslabs.com/clink/images/16c86aca-c2e5-4333-b714-0eafa94f730fb7159082-6b8d-420c-ae97-1b24641be3f1.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11065465,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Zuccaire Gallery Evening Hours,"Saturday, March 22 at 7:00PM EDT",Paul W. Zuccaire gallery,Unknown Club,https://se-images.campuslabs.com/clink/images/1b9e6e4f-05fa-4a20-a582-5c5c4c8bcec3b64b07a0-2c79-4ab9-a4a6-9bd25a87708b.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11062165,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
"Melissa Errico Quartet - A Sondheim Birthday Tribute,  Limited free tickets for SBU students","Saturday, March 22 at 8:00PM EDT",Staller Center for the Arts,Staller Center for the Arts,https://se-images.campuslabs.com/clink/images/7f5b83a1-e980-4eb5-8508-0cc7049332658630a9df-027c-4ba6-9535-ba420264dfde.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10676049,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Ballroom Team Open Practice,"Sunday, March 23 at 12:00PM EDT",SAC 110,Ballroom Dance Team,https://se-images.campuslabs.com/clink/images/3e7dfb5a-d2dc-4e27-96f9-1f3f420ddc48e26624d3-0773-4403-bc7f-87a75734c41d.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11064337,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Democracy-101,"Monday, March 24 at 11:00AM EDT",Union Auditorium,Unknown Club,https://se-images.campuslabs.com/clink/images/bd33d55e-54a2-4b98-bd0a-7ff7fb4bc150c81bf7b6-3d38-4069-a207-954726073855.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10792889,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Recreation & Wellness Center Employment Expo - 11:00am Session,"Monday, March 24 at 11:00AM EDT",Recreation Center MPR,Recreation and  Wellness,https://se-images.campuslabs.com/clink/images/deefe276-dc23-419f-b88a-ea6159f140a0fd1195b8-269c-40a7-b1fd-64dc79539ade.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11041745,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Crafting Your Federal Resume,"Monday, March 24 at 12:30PM EDT",Virtual,Career Center,https://se-images.campuslabs.com/clink/images/1afd102c-b55d-478b-9c6c-cfd154b7e375110bd3de-f80b-4e6e-abf8-63785b8d35f8.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10998871,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Tea and Talk (Without Tea),"Monday, March 24 at 12:30PM EDT",Frey 112,Russian Corner,https://se-images.campuslabs.com/clink/images/6832953f-aae4-4f42-96a1-23de0abac52d95728b30-7f49-4350-9339-39262b9674a1.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11077792,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Stud-Tea Sessions With Tau Beta Pi,"Monday, March 24 at 12:30PM EDT",LIBRRY W4540,Tau Beta Pi The Engineering Honor Society,https://se-images.campuslabs.com/clink/images/02f512cd-38d2-484a-a858-0459a7ef1c0f7aa22bbe-a3a1-4241-8a31-272048eb6c1b.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11099786,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
"Informal Metropolis: Life on the Edge of Mexico City, 1940-1976","Monday, March 24 at 12:30PM EDT",LACS Gallery,Unknown Club,https://se-images.campuslabs.com/clink/images/9754a956-5c1f-43af-85c7-01b25393d09a9680ae3d-11ab-4ed0-a75e-b5415c0b535d.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11102964,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Classical Latin Club GBM,"Monday, March 24 at 1:00PM EDT",Frey 205,Classical Latin Club,https://se-images.campuslabs.com/clink/images/c70a1378-851d-44ce-98e3-3e19a74eae5bf585c61a-e981-43fb-813a-95bb4031a58b.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11067484,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Empire State Service Corps Information Session,"Monday, March 24 at 1:00PM EDT",SAC 303,Career Center,https://se-images.campuslabs.com/clink/images/20a20e2b-2fb5-4938-b8eb-13d7b2174948a7ab4dfb-45c2-40f6-a6a9-cdfa1881f7b3.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10998932,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Empire State Service Corps Informational,"Monday, March 24 at 1:00PM EDT",SAC 303,Unknown Club,https://se-images.campuslabs.com/clink/images/5d1b1cb6-e8e4-44b5-b643-ff06f39fa05837de933f-3114-4bc6-ba85-49d5ef329e96.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10797932,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
SF4M GBM!,"Monday, March 24 at 1:00PM EDT",Student Union L06-08,Science Fiction Forum,https://se-images.campuslabs.com/clink/images/3efd913d-0359-4b1f-bece-d73992369d722d401bee-e2a5-4ed2-81c8-6c95b3b77938.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11007483,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Narcan Training,"Monday, March 24 at 1:30PM EDT",CPO training room,Center for Prevention and Outreach,https://se-images.campuslabs.com/clink/images/85f6496c-fa9b-4eee-aad1-112ae7a02c22836c11b2-52df-400d-ba2c-6f852f28659c.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10932905,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
WIB Donut Fundraiser,"Monday, March 24 at 11:00AM EDT",Union Lobby Tables 1 + 2,Women In Business at SBU,https://se-images.campuslabs.com/clink/images/55cbd4cc-cb19-416c-86b3-13e195fa6916a8da6174-50fc-4092-9af8-af2a0875ca4f.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10932526,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Recreation & Wellness Center Employment Expo - 3:00pm Session,"Monday, March 24 at 3:00PM EDT",Recreation Center MPR,Recreation and  Wellness,https://se-images.campuslabs.com/clink/images/92c049d5-1523-4213-bd05-7de42da696fd899e4eef-aeca-4925-9ec1-53933a4c7afe.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11041757,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Graduate Badminton - Club Hours,"Monday, March 24 at 3:00PM EDT",MAC Courts,Graduate Badminton Union,https://se-images.campuslabs.com/clink/images/5d730f2c-3bf1-425c-8a79-dc80bd5dbbcbd38b27ea-6d33-48ca-8d54-ea59b3e1a641.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11063749,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Community Wellness Walk with CPO,"Monday, March 24 at 3:30PM EDT",Union Suite 108,Center for Prevention and Outreach,https://se-images.campuslabs.com/clink/images/a4b98e2a-72a7-4c65-829b-a62c8908976685344d2c-b929-4332-b591-545b811225c4.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11031824,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Figure Skating Off-Ice Practice,"Monday, March 24 at 3:30PM EDT",Campus Recreation Center Multipurpose Room,Figure Skating Club at Stony Brook University,https://se-images.campuslabs.com/clink/images/e4e170eb-845d-410c-9281-edfdf699f16dba1b101d-8070-4b70-bdbb-fad3e5448463.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11032915,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Spring Flow Practice 1,"Monday, March 24 at 5:00PM EDT",Union Rehearsal Space,Flow at SBU,N/A,https://stonybrook.campuslabs.com/engage/event/10931647,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Queer and Crafts Affinity Group,"Monday, March 24 at 5:00PM EDT",LGBTQ* Center,LGBTQ* Services,https://se-images.campuslabs.com/clink/images/5e9fdbdf-95fc-40a3-a992-6a7c78cd4abe7d211ee8-3d9f-429a-b2c3-f5b3bbaefde5.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11051922,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Embroidery at SBU: GBM,"Monday, March 24 at 7:00PM EDT",Library N3063,Embroidery at SBU,N/A,https://stonybrook.campuslabs.com/engage/event/11040621,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Cat Network Spring GBM,"Monday, March 24 at 7:00PM EDT",SAC 302,Cat Network,N/A,https://stonybrook.campuslabs.com/engage/event/10231920,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
General Body Meeting,"Monday, March 24 at 7:00PM EDT",Humanities Building,College Socialists,N/A,https://stonybrook.campuslabs.com/engage/event/10957396,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
UNICEF at SBU GBM,"Monday, March 24 at 7:00PM EDT",Frey Hall 201,UNICEF at SBU,https://se-images.campuslabs.com/clink/images/2c145621-272b-46b4-9670-2f0d98e1ce23bb6c0233-e3fd-421a-8551-76d9028b0ce6.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10990269,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Tile Making,"Monday, March 24 at 7:00PM EDT",UNION 203-11,Greek & Cypriot Student Association,N/A,https://stonybrook.campuslabs.com/engage/event/11016649,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
PPGA GBM,"Monday, March 24 at 7:00PM EDT",SAC 302,Planned Parenthood Generation Action at Stony Brook University,https://se-images.campuslabs.com/clink/images/88f8fa64-d609-411d-ac86-84353b718a569a44ce5d-0408-4851-811b-a1e44fc6d8fc.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10358593,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
AIChE ChemE Jeopardy Weekly Meetings,"Monday, March 24 at 7:00PM EDT",ESS 177,American Institute of Chemical Engineers,https://se-images.campuslabs.com/clink/images/ca1fef38-96d6-4e82-9e6b-4ecdde819ac11f64dd7a-93d5-458c-b93f-dc0d8549e177.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11044775,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
ASME Elections,"Monday, March 24 at 7:00PM EDT",Light Engineering Room 173,American Society of Mechanical Engineers - Stony Brook University Chapter,https://se-images.campuslabs.com/clink/images/5e3dcf42-cfee-4130-8b4c-4d19457b8d560bfc022e-b576-4850-972c-e2d5a5050064.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11091570,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
ASBO GBM,"Monday, March 24 at 7:00PM EDT",Frey 309,Alternative Spring Break Outreach,https://se-images.campuslabs.com/clink/images/24db683b-b77b-45d7-9d53-85e789b9f5f7d28a72f8-4a85-4e4d-89b6-2315696920dc.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10943867,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Sand Jar Night,"Monday, March 24 at 7:00PM EDT",Devries 204/206,Burmese Student Association,https://se-images.campuslabs.com/clink/images/28fa5061-3f65-45b2-9e6f-2ac05cd1da0c0cb8311a-62b5-4798-91f4-5bb6af77b5c2.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11095900,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
University Affairs Committee,"Monday, March 24 at 6:30PM EDT",USG Suite Conference Room SAC 202,Undergraduate Student Government ,https://se-images.campuslabs.com/clink/images/fb0ab4e4-2813-438c-a8ee-9f9be00ad8f4d110ccb5-66e2-4d49-b8b6-d17f1bd31cf5.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10801886,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Henna Night,"Monday, March 24 at 7:30PM EDT",Eisenhower Classroom,Unknown Club,https://se-images.campuslabs.com/clink/images/02f385ae-daed-4fd3-b541-8ce1dde7785005ab790b-ab48-4e76-af6c-b4c134a64533.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11082705,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
PSA X WIB: Negotiation and Persuation Workshop,"Monday, March 24 at 8:00PM EDT",SAC 306,Unknown Club,https://se-images.campuslabs.com/clink/images/9f13649d-4d35-47ea-8218-f8f7de9268352d3b8afe-7bd9-4a49-ab4b-09c9b649ca9a.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11040182,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Altar Building and Deity Work,"Monday, March 24 at 8:00PM EDT",SAC 303,Pagan Student Society,https://se-images.campuslabs.com/clink/images/8c5a1c24-29ed-4bf9-98fd-9133439e56aaf9cf2fbf-cd7b-4c1f-ab97-9f5218f6ea1c.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11091048,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Field Hockey Club Practice,"Monday, March 24 at 7:00PM EDT",Campus Recreation Outdoor South Field Complex- Field A,Field Hockey Club Team,https://se-images.campuslabs.com/clink/images/670ea046-7052-4ec1-8151-47b4a157a7e0b36b1345-2074-4b90-8019-dd391ca329a8.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10971474,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Mehndi and Movie Night,"Monday, March 24 at 7:00PM EDT",SAC 311,Taandava,https://se-images.campuslabs.com/clink/images/f369e3af-9777-4ea0-877a-8850a4555e2bbeb09564-4c66-48f0-8438-c55f14ff6b7b.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10932490,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Red Watch Band Virtual Training,"Monday, March 24 at 7:00PM EDT",Virtual,Center for Prevention and Outreach,https://se-images.campuslabs.com/clink/images/a66060dd-8562-4ec3-9520-c92469f8290b3880f70b-c782-4807-b767-c20d9c649f85.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10836248,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
BASIC GBM,"Monday, March 24 at 8:00PM EDT",Frey 313,Brothers and Sisters in Christ ,https://se-images.campuslabs.com/clink/images/5562791b-bc00-40c3-840c-8985ad98b9784e4f57da-9de6-4a93-9f10-fbd4167ea501.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10966630,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Suture Night!,"Monday, March 24 at 8:00PM EDT",Frey 301,American Red Cross Club at Stony Brook University,https://se-images.campuslabs.com/clink/images/c72b4d25-a9b5-42bb-abe9-7c5c6bbc2c769e65b06b-ca90-45fe-be26-cdaecb6f471e.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11095932,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
GBM for College Democrats,"Monday, March 24 at 8:00PM EDT",SAC 302,College Democrats,https://se-images.campuslabs.com/clink/images/1408ac97-3d19-407b-b146-070cbd867584fa768c3c-86f0-42a2-83b7-78445b8debfd.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10962511,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Karaoke with CSO,"Monday, March 24 at 8:00PM EDT",SAC 305,Caribbean Student Organization,https://se-images.campuslabs.com/clink/images/ae101e2d-f31c-4871-afd9-e822d774ed7724ed3929-ff90-4966-b8b3-803bb92a9725.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11061830,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Chinablue Block booking,"Monday, March 24 at 8:00PM EDT",SAC 311,ChinaBlue,https://se-images.campuslabs.com/clink/images/74a6be5f-6b4e-4a8a-a36a-9c69270858c4e1c3a71a-89ba-419c-8e71-56083d9fe6ff.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10873887,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Monday Practice,"Monday, March 24 at 8:15PM EDT",REC 128,Wrestling Team,https://se-images.campuslabs.com/clink/images/0428bab8-6991-4175-932f-4e9d33816a7fccfd5d3c-ac02-47ea-a918-19250fd6a62e.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11006297,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
PUSO Presents: Spring Weekly GBMs,"Monday, March 24 at 8:30PM EDT",Melville E4320,Philippine United Student Organization,https://se-images.campuslabs.com/clink/images/50697e89-1ea0-4ba8-a912-01ab6d9a3cda4ecdadd5-bc19-4d21-8e8d-722f7489e7e9.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11050475,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
RHA General Body Meetings,"Monday, March 24 at 8:00PM EDT",Bauman Center,Residence Hall Association,https://se-images.campuslabs.com/clink/images/6808258d-a284-4f58-b4dd-2a6233f03e5600ac67e9-99ae-48c7-b82b-fd0c4a18b08d.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10849669,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Tau Kappa Epsilon Chapter Meeting,"Monday, March 24 at 9:00PM EDT",SAC,Tau Kappa Epsilon,https://se-images.campuslabs.com/clink/images/980b31ce-f3bb-4eec-9001-50ba5c5828dff54c3a65-a577-4664-ad03-ff25c735bb9e.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10330096,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
SBU Club Swimming: Practice - Spring 2025,"Monday, March 24 at 9:00PM EDT",University Pool,Club Swimming at Stony Brook University,https://se-images.campuslabs.com/clink/images/3e281a15-8e1f-4768-b81c-940d148df8c29d87fca4-2fff-4636-a628-907535e38bb0.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10926704,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Stony Breakers - Open Session,"Monday, March 24 at 8:30PM EDT",ESS Lobby,Stony Breakers,https://se-images.campuslabs.com/clink/images/fefac18b-663e-4266-b537-e21a869b6d20d7fc1e0c-53a0-4415-95a8-01f15921fe91.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10980298,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Theta Phi Alpha's Chapter Business Meeting,"Monday, March 24 at 8:30PM EDT",LIB E4315,Theta Phi Alpha (Currently on Probation),N/A,https://stonybrook.campuslabs.com/engage/event/11026836,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Graduate Badminton - Club Hours,"Tuesday, March 25 at 8:00AM EDT",MAC Courts,Graduate Badminton Union,https://se-images.campuslabs.com/clink/images/5d730f2c-3bf1-425c-8a79-dc80bd5dbbcbd38b27ea-6d33-48ca-8d54-ea59b3e1a641.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11063762,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Mindful Moments,"Tuesday, March 25 at 11:00AM EDT",Center for Prevention and Outreach,Center for Prevention and Outreach,https://se-images.campuslabs.com/clink/images/cc2fa9b5-48fa-4d29-8533-d6cb02444c09b8f442e1-1401-4113-949a-f0407f294e35.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10996562,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Protein Cookie Fundraiser,"Tuesday, March 25 at 11:00AM EDT",SAC Lobby 5,Computing Society at Stony Brook,https://se-images.campuslabs.com/clink/images/ecd9fbb2-1b88-4f21-9b12-71318ae4e7b03ca0248e-3190-4927-ac8d-9da165b4c474.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11077893,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Community Wellness Walk with CPO,"Tuesday, March 25 at 1:00PM EDT",Union Suite 108,Center for Prevention and Outreach,https://se-images.campuslabs.com/clink/images/deb41480-05dd-43fd-8e4c-50602a5e4632ce341394-e907-420d-a17e-3ef230b37fc6.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11015663,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
PACE Screening Days,"Tuesday, March 25 at 10:00AM EDT","CPO Office, Union 108",Center for Prevention and Outreach,https://se-images.campuslabs.com/clink/images/b9dfd007-e3ec-4f72-8106-3676427e557557ce884e-b7d2-42e3-bb96-8dd752f824fa.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11029511,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Blitzball Practice,"Tuesday, March 25 at 3:30PM EDT",Multi-Activity Court,Blitzball Club,N/A,https://stonybrook.campuslabs.com/engage/event/11007058,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
Global CommuniTEA: Mental Health and Culture,"Tuesday, March 25 at 4:00PM EDT",International Student Center (Library S1450),Unknown Club,https://se-images.campuslabs.com/clink/images/2b62bac8-d452-4ec6-ab9a-419516e4a03d3cd19349-66df-4b59-bf23-896b1cbdcc9f.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/10935489,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
FTA GBM #6:  Puzzle Craft,"Tuesday, March 25 at 5:00PM EDT",Frey Hall 301,Future Teachers Association ,https://se-images.campuslabs.com/clink/images/91d09459-1f48-4172-a5b4-31bf49b72107edda9f82-3e77-4f9f-80b6-5a444c6142fc.png?preset=med-w,https://stonybrook.campuslabs.com/engage/event/11077651,No Description Available,No Host Organization,No First Host Org,No Perks,No Categories,No Start Time,No End Time
