title,date,location,organizer,link,description
Wanna Canta 2025,"Saturday, February 22 at 6:00PM EST",Macmahon Student Center: Duncan Sky Room 6th Floor,Philippine United Student Organization,https://stonybrook.campuslabs.com/engage/event/10864757,"Annual Singing Competition hosted by the Saint Peter’s Affirming Representation of Kababayans at Saint Peter’s Univerisity. PUSO at Stony Brook would be sending one representative to compete at this competition hosted on February 22nd, 2025 at 6:00 pm in the Duncan Family Sky Room of the MacMahon Student Center on Saint Peter’s Univerisity’s campus. PUSO will be competing against 19 other universities around New York and New Jersey."
Smash Club Game Night,"Saturday, February 22 at 6:00PM EST",SAC 306,Smash Bros. at SBU,https://stonybrook.campuslabs.com/engage/event/11096904,Come join the Smash club for a game night!
HopperHacks X,"Saturday, February 22 at 11:00AM EST",SAC Ballroom A,Women in Computer Science,https://stonybrook.campuslabs.com/engage/event/10388373,"HopperHacks is a day-long, social good-focused hackathon to encourage students to make an impact on relevant issues that are facing societies around the world today, such as mental/physical health, education, and the environment, all by applying their technical skills. This hackathon is hosted by Stony Brook University's ACM-W chapter, Women in Computer Science (WiCS). WiCS's mission as an organization is to bridge the gap between women and men in computer science, and we work to extend that to all minority groups. Spring 2025 will be WiCS's 10th annual hackathon, HopperHacks X!
This year's Hopperhacks is setting sail with a pirate theme! Whether ye be a seasoned coder or a fresh recruit, join our crew and embark on a treasure hunt for the best hacks. It's time to channel your inner pirate and code like a captain! Avast, there'll be plenty of booty and a bounty of fun activities. So, polish your hooks and get ready to hack the high seas!"
Ice Hockey: Home Game vs. Drexel,"Saturday, February 22 at 8:30PM EST",The Rinx,Ice Hockey,https://stonybrook.campuslabs.com/engage/event/10607893,The Ice Hockey club will host the Drexel Dragons.
Binghamton University Open Fencing Tournament,"Friday, February 21 at 12:00PM EST",Binghamton University,Fencing Club,https://stonybrook.campuslabs.com/engage/event/11065517,The Fencing Club will be heading to Binghamton University to participate in their open fencing tournament. We will be leaving 02/21 and returning 02/23.
Fordham Dual,"Sunday, February 23 at 12:00PM EST",Fordham Prep,Wrestling Team,https://stonybrook.campuslabs.com/engage/event/10904051,"Fordham Prep Gym (441 E Fordham Rd, Bronx, NY 10458)"
Table Tennis Ping Pong Practice Meeting,"Sunday, February 23 at 1:30PM EST",MAC Courts in Campus Rec,Table Tennis Club,https://stonybrook.campuslabs.com/engage/event/11007011,"4 meetings per week of general ping pong practices. All skill levels welcome. The tables will be set up for free play but if there are too many people, a couple of tables will be set as King of the Court or Around the World. Timers would also be set to rotate people in and out so that everyone can play. Paddles/Balls are supplied by the club, but feel free to bring your own equipment! Sometimes, practices will be more competitive and focused on higher levels of play if the level of interest is there. If you have any questions, go on the discord and ask: https://discord.gg/adEQyyaudE"
Resume Building with Google Docs,"Sunday, February 23 at 3:00PM EST",Online,DoIT,https://stonybrook.campuslabs.com/engage/event/11096934,"Register Here!The workshop will cover various aspects of resume building, from formatting and content organization to tailoring resumes for specific job opportunities.In this interactive workshop, participants will gain the essential skills and knowledge needed to teach students how to create an effective and impressive resume using Google Docs.
In the session, you will: Gain the essential skills and knowledge needed to teach students how to create an effective and impressive resume using Google Docs.Register Here!https://stonybrook.zoom.us/j/91072139152?pwd=Z0xuRzNXVmpSRVN3aEVMOFdXUU5sZz09"
Weekly SBU Kendo Practice,"Sunday, February 23 at 3:00PM EST",Wood Court #3 in Recreation Center,Kendo Club at SBU,https://stonybrook.campuslabs.com/engage/event/11007079,"Weekly SBU kendo practice on Wood Court #3.
No experience is needed, everyone is welcome. All equipment will be provided."
Fencing Practice,"Sunday, February 23 at 3:00PM EST",CRC - MAC Courts,Fencing Club,https://stonybrook.campuslabs.com/engage/event/10926793,"Join the Fencing Club in practicing footwork, blade work, and even training for tournaments. We welcome anyone of any skill level to come to practices, all you need to bring is yourself!"
Brook Con Artist Alley Workshop,"Sunday, February 23 at 2:00PM EST",SAC 311,Animated Perspectives,https://stonybrook.campuslabs.com/engage/event/11071149,Brook Con Artist Alley Workshop
CASB: China Night Audition,"Sunday, February 23 at 11:00AM EST","SAC 302, SAC 303, SAC 304",Chinese Association at Stony Brook ,https://stonybrook.campuslabs.com/engage/event/11061825,"💗 Get ready because ✨China Night ✨will be on Sunday, April 27th from 6-10PM. As a completely student run event, China Night features the talents ❣️of our diverse student body 📍You could be a part of:✮ Singing 🎤✮ Dance 🪩✮ Formal and Lingerie Modeling 💄✮ Acting 🎭✮ Props 🎨"
Roller Hockey Practices (Spring Semester),"Sunday, February 23 at 4:00PM EST",Rapid Fire Arena Inc,Roller Hockey,https://stonybrook.campuslabs.com/engage/event/10913769,Roller Hockey will be having team practice with coaches at Rapid Fire in Moriches.
SBU Roundnet Weekly Practices,"Sunday, February 23 at 4:30PM EST",Rec and Wellness Center MAC Courts (basement),Roundnet at SBU,https://stonybrook.campuslabs.com/engage/event/11028582,"SBU Roundnet Weekly Practices @ MAC Courts (basement of Rec)
Tuesday 2-3:30pm
Sunday 4:30-6pm"
Competitive Dodgeball Club Practice,"Sunday, February 23 at 4:30PM EST",Campus Recreation Center Wood Court #3,Dodgeball Club,https://stonybrook.campuslabs.com/engage/event/10971352,"Join us in the Rec Center Wood Courts for an open competitive practice to improve your skills and work towards traveling to compete in intercollegiate tournaments with official rules!

*Competitive practices are open to all interested players of any gender or skill level but are more intense and focused. Find our regular practices for more casual and fun dodgeball!"
Sunday Catholic Mass,"Sunday, February 23 at 5:00PM EST",Union Ballroom,Catholic Campus Ministries,https://stonybrook.campuslabs.com/engage/event/10185813,Join Catholic Campus Ministry for Sunday Mass at 5pm.
Sunday Catholic Mass,"Sunday, February 23 at 5:00PM EST",Union Ballroom,Catholic Campus Ministries,https://stonybrook.campuslabs.com/engage/event/10185812,Join Catholic Campus Ministry for Sunday Mass at 5pm.
Tennis Club - Long Beach Tennis Center Invitational,"Friday, February 21 at 10:00AM EST",Long Beach Tennis Center,Tennis Club,https://stonybrook.campuslabs.com/engage/event/11076733,"The tennis club competitive team will be playing at Long Beach Tennis Center for the NYS college invitational championship. Please visit our club website and view our weekly newsletter for more information in the Linktree below.

https://linktr.ee/sbutennisclub"
Squid Games the Experience NYC Trip,"Sunday, February 23 at 9:00AM EST","111 W 32nd St, New York, NY 10001",Student Engagement & Activities,https://stonybrook.campuslabs.com/engage/event/10719734,"You’ve seen Squid Game on Netflix, now play it in real life. Battle through five intense challenges inspired by the show: outsmart the eerie Young-hee doll in Red Light Green Light, test your nerves on the treacherous Glass Bridge, and go all-out in the epic Warships game. Fight for your VIP spot, but remember—the game shows no mercy. And there's more! Unwind and indulge at our Korean-inspired Night Market.

Join us for a trip to the Squid Games the Experience on Sunday, February 23rd, 2025.
A ticket for this trip will include access to the experience & round-trip transportation.
The bus will pick up students from Stony Brook Union at 9:30 am and depart the city around 5:00 pm.
There will be time to explore around the city before departure.
All students must utilize the provided transportation to & from unless approved by the trip chaperone the day of.
Tickets for undergraduate students are $25 and for graduate students are $35.00.
Tickets go on sale, on Monday, February 10th at 9 am.
Click here to buy tickets!
Tickets are non-transferable and non-refundable. Failure to attend the event after registration may result in suspension from future off-campus trips.
If you have any questions, please email beyondthebrook@stonybrook.edu
"
High C's Sunday Rehearsals,"Sunday, February 23 at 4:00PM EST",SAC Rehearsal Space,High Cs,https://stonybrook.campuslabs.com/engage/event/10827830,Weekly rehearsal for the High C's TTBB a cappella group to practice their repertoire.
Sunday Volleyball Club Practice,"Sunday, February 23 at 6:00PM EST",Campus Recreation Center Wood Courts 2/3,Volleyball Club at SBU,https://stonybrook.campuslabs.com/engage/event/10971408,"Come and play Volleyball with practices hosted by the Volleyball Club at the Campus Recreational Center! Every practice, we will be focusing on different aspects of the game, such as serve receive, attacking, setting, blocking, defense, game play, etc. Experienced players can come to refine their skills and beginner players can learn something new!
For specific information such as what is being taught on a specific day, unexpected cancellations, changes in plans (such as tryouts, clinics, or tournaments happening instead), etc, please follow our instagram @sbuvball or join our groupme chat linked in our instagram’s linktree.
Please show up in athletic attire!"
Cricket Practice Session,"Sunday, February 23 at 6:00PM EST",MAC Courts,Cricket Club at Stony Brook University,https://stonybrook.campuslabs.com/engage/event/11035725,Come play some cricket!!
HopperHacks X Awards,"Sunday, February 23 at 6:00PM EST",SAC AUD,Women in Computer Science,https://stonybrook.campuslabs.com/engage/event/10291864,"Join Us for the HopperHacks Award Ceremony!
After an exhilarating 24 hours of innovation, creativity, and collaboration at HopperHacks, it’s time to celebrate the outstanding achievements of our talented participants. The Women in Computer Science (WiCS) community is thrilled to invite you to the HopperHacks Award Ceremony, where we will honor the exceptional projects and present exciting prizes and raffles. Join us in recognizing the hard work, dedication, and creativity of all HopperHacks participants."
SBAAU Ice Hockey PLAYOFFS,"Friday, February 21 at 12:00PM EST",The Rinks at the Sports Center:,Stony Brook AAU Ice Hockey ,https://stonybrook.campuslabs.com/engage/event/10962003,The Stony Brook AAU Ice Hockey team heads to Connecticut for the Empire Conference Playoffs!
Spring Ball 2025,"Sunday, February 23 at 6:30PM EST",SAC Ballroom A,Indian Graduate Student Association,https://stonybrook.campuslabs.com/engage/event/11040281,"The Indian Graduate Student Association (IGSA) at Stony Brook University is thrilled to present the Spring Ball 2025 on February 23, 2025. This exciting event will bring together around 350 students, faculty, and staff for a night of celebration, music, and community building. Guests will enjoy a lively atmosphere with a mix of contemporary dance music and popular hits, perfect for dancing the night away. A diverse selection of delicious food will be provided to cater to all tastes. Attendees are encouraged to dress in semi-formal or formal attire for the evening. The Spring Ball offers a fantastic opportunity to connect with peers, enjoy great music, and have a memorable time with the Stony Brook University community."
NJ Naach,"Friday, February 21 at 8:00AM EST",Patriots Theater at the War Memorial in Trenton,Raaswalas,https://stonybrook.campuslabs.com/engage/event/10767131,Dance competition hosted by Rutgers University.
CPAC 2025,"Wednesday, February 19 at 12:00AM EST","Comfort Inn, Washington, D.C.",College Republicans,https://stonybrook.campuslabs.com/engage/event/10906272,"Come join us on our annual trip to the Conservative Political Action Conference, held in Washington D.C."
72nd USHA 4-Wall National Collegiate Championship,"Monday, February 17 at 7:00AM EST","Multnomah Athletic Club - Portland, Oregon",Handball Club,https://stonybrook.campuslabs.com/engage/event/10228213,"The SBU Handball club will be renting out cars for transportation in Portland, Oregon for a national 4-wall Handball tournament. The team will be staying at a nearby hotel throughout the entire tournament. The club participates in this trip every spring semester, the tournament locations have ranged from Texas, North Carolina, Missouri, Arizona, Minneapolis and now Oregon."
Birthright FREE trip to Israel tabling,"Monday, February 24 at 11:00AM EST",1st Floor Lobby,Stony Brook Hillel,https://stonybrook.campuslabs.com/engage/event/10917414,Come learn and ask questions about the trip!
NSBE GBM 1: LEARN MORE ABOUT NSBE & CONFERENCES,"Monday, February 24 at 12:00PM EST",SAC 305,National Society of Black Engineers,https://stonybrook.campuslabs.com/engage/event/11094180,"
Ever wondered what it’s like to attend a professional conference? Want to learn how to make the most out of the experience? Join us for NSBE’s first event of the semester—a Board Game Social!
📅 Date: Monday, February 24th
🕧 Time: 12:30 PM – 1:30 PM
📍 Location: SAC 305
Come hang out, play some board games, and enjoy free pizza, snacks, and drinks while connecting with students who recently attended the BEYA Conference! They’ll be sharing insights on what to expect, how to prepare, and how conferences can open doors for networking and career opportunities.
This is also a great chance to learn more about NSBE and how we support students on campus. Whether you’re new to conferences or just looking to meet new people, we’d love to see you there!"
Stud-Tea Sessions With Tau Beta Pi,"Monday, February 24 at 12:30PM EST",LIBRRY W4540,Tau Beta Pi The Engineering Honor Society,https://stonybrook.campuslabs.com/engage/event/11099783,Come join Tau Beta Pi for a weekly study session at the Melville Library!
Your Guide to Securing Campus Jobs,"Monday, February 24 at 12:30PM EST",SAC 306,Career Center,https://stonybrook.campuslabs.com/engage/event/10908489,"Register on Handshake

Are you eager to gain practical experience, earn extra income, and enhance your skillset while pursuing your education? Look no further! Our dynamic workshop, has been designed to equip you with the knowledge and strategies needed to successfully navigate the world of on-campus employment."
President Alumni Panel,"Monday, February 24 at 12:30PM EST",Online,Finance Society at SBU,https://stonybrook.campuslabs.com/engage/event/11091386,"Join the Finance Society for an exclusive president alumni panel, where ALL former presidents of the Finance Society will share their experiences, career journeys, and their insights on professional development transitioning from students at Stony Brook into long-term positions!"
Tea and Talk,"Monday, February 24 at 12:30PM EST",SAC 303,Russian Corner,https://stonybrook.campuslabs.com/engage/event/11077718,"Come by during campus lifetime hours to improve your Russian language skills with our e-board, or if you're interested in learning, we will hold casual Russian language learning lectures for all interested members. Enjoy a nice cup of chai (tea) while you chat and/or learn!"
Week 4: SEA Club Leader Social,"Monday, February 24 at 12:30PM EST",Shore Club,Student Engagement & Activities,https://stonybrook.campuslabs.com/engage/event/10983535,"Attention Student Club & Organization Leaders!

SEA is hosting a social for our incredible club leaders so you can meet, greet & mingle with fellow leaders, and encourage collaboration between your organizations!

Our fourth week of collaborations invites our Fraternities & Sororities, Cultural, & Sports Organizations for chats, games, and snacks in the Shore Club!"
International Student Campus Lifetime,"Monday, February 24 at 12:30PM EST","Union Ballroom, Stony Brook Union",The Office of Global Affairs,https://stonybrook.campuslabs.com/engage/event/10982050,"Join us during Campus Lifetime to meet new international students, make friends, and enjoy refreshments! This event will provide international students the space to socialize and have fun!
This month’s event will feature rock painting! All materials will be provided. Enjoy free food and fun!"
USG Spring Budget Weekend Training,"Monday, February 24 at 1:00PM EST",Online,Undergraduate Student Government ,https://stonybrook.campuslabs.com/engage/event/11090270,Come join us to learn more about Spring Budget Weekend! This is only applicable for clubs with line budget status only! Here is the zoom link.
SF4M GBM!,"Monday, February 24 at 1:00PM EST",Student Union L06-08,Science Fiction Forum,https://stonybrook.campuslabs.com/engage/event/11007480,"The Science Fiction Forums weekly general body meeting! Come on down to see how we run, and stay after to hang out with all of our members!"
USG Elections Informational Session,"Monday, February 24 at 1:00PM EST","Student Activities Center, RM 223",Undergraduate Student Government ,https://stonybrook.campuslabs.com/engage/event/11056322,"Are you interested in running to become an Undergraduate Student Government leader? Or maybe being a part of planning campus traditions like Wolfieland and Roth Regatta? Do you have an initiative you want to get started on campus? Then get ready, the USG spring elections are HERE️! Stop by in one of our MANY informational sessions to learn about our organization's different positions and offices! Potential candidates must attend one of the informational sessions to receive the intent form. If you have any questions, make sure to reach out to usg_elections@stonybrook.edu or usg_communications@stonybrook.edu"
Video Editing with Adobe Express,"Monday, February 24 at 2:00PM EST",Online,DoIT,https://stonybrook.campuslabs.com/engage/event/10801415,"Register here!
Teach user on how to edit video, and make it more interactive to audience.
In the session, you will: Be able to confidently identify the different types of key terms and concept of different types of video (cooking, education, gaming, advertisement)Familiarize themselves with the Adobe Express interface, including toolbars and panels.Gain necessary skills in trimming, applying visual effects, and adding transitions to video.Import and export media in different formats and ratios for each type of content.
Register here!"
Planned Parenthood Mobile Health Center at SBU,"Monday, February 24 at 10:00AM EST",SAC Faculty and Staff Parking Lot #13,Center for Prevention and Outreach,https://stonybrook.campuslabs.com/engage/event/10785760,"Planned Parenthood Hudson Peconic is bringing their Mobile Health Center to SBU's Campus on
Monday February 10th 10am-4pm  AND Monday February 24th 10am-4pm
Join us in the SAC Faculty and Staff Parking Lot, Lot #13
No Appointments Needed! Walk Ins Welcome!
Visits available for: Birth Control
Emergency Contraception
STI testing and Treatment
Gender Affirming Care
Annual Wellness Exams
PrEP/PEP
HIV testing and treatment
Medication Abortion and More!"
HSA Momo Fundraiser,"Monday, February 24 at 12:00PM EST",SAC LOBBY,Himalayan Student Association,https://stonybrook.campuslabs.com/engage/event/11045459,HSA will be selling momos (Tibetan dumplings) to raise money
Community Wellness Walk with CPO,"Monday, February 24 at 3:00PM EST",Union Suite 108,Center for Prevention and Outreach,https://stonybrook.campuslabs.com/engage/event/11084147,"Join CPO Peer educators and SBU community members for a one mile walk on campus every week!
Join us Monday February 24th from 3 to 4pm for one of our weekly wellness walks!
All abilities are invited, no experience necessary, no one gets left behind
Email prevention_outreach@stonybrook.edu for accessibility needs"
Graduate Badminton - Club Hours,"Monday, February 24 at 3:00PM EST",MAC Courts,Graduate Badminton Union,https://stonybrook.campuslabs.com/engage/event/11063746,"NEW TO BADMINTON? Don't worry, join Graduate Badminton Union's weekly club timing. Meet new friends and improve your badminton skills. Sports wear is recommended. Please visit 30 minutes ahead during the net setup.
Club Hours
Location: MAC Courts (Basement of REC)"
CPO Mini-Series: Coping + Resilience,"Monday, February 24 at 4:00PM EST",CPO (Union 108),Center for Prevention and Outreach,https://stonybrook.campuslabs.com/engage/event/10995617,"Resilience is built after successfully coping and adapting to challenging times. Join us as we explore how to develop coping skills and integrate strategies to help us bounce back from stress and other challenges.
Email prevention_outreach@stonybrook.edu for accessibility needs"
A Deep Dive into The Dyatlov Pass Incident,"Monday, February 24 at 5:00PM EST",SAC 302,True Crime & Conspiracy Theories,https://stonybrook.campuslabs.com/engage/event/11095924,"Mixing crime and conspiracy, the Dyatlov Pass Incident is one of the most horrific and confusing unsolved cases in history. When a bunch of Soviet university students go hiking and don't return, their fate is unknown until bodies are found in gnarly states. Was this an act of nature? An act of man? or an act of something altogether supernatural? Come find out"
Mindful Moments,"Monday, February 24 at 5:00PM EST",Center for Prevention and Outreach,Center for Prevention and Outreach,https://stonybrook.campuslabs.com/engage/event/11060527,"Research shows that people who practice mindfulness are happier, more motivated, more successful in relationships, have improved physical health, and experience less anxiety and depression.
With deep breathing exercises, we practice using our breath as a tool for relaxation. In this way, we witness negative thoughts gradually diminish, freeing us from the hold they have.
Join CPO Peer Educators in breathing away anxious thoughts to relax and calm the mind!
Email prevention_outreach@stonybrook.edu for accessibility needs."
Community Wellness Walk with CPO,"Monday, February 24 at 5:00PM EST",Union Suite 108,Center for Prevention and Outreach,https://stonybrook.campuslabs.com/engage/event/11055138,"Join CPO Peer educators and SBU community members for a one mile walk on campus every week!
Join us Monday February 24th from 5-6pm for one of our weekly wellness walks!
All abilities are invited, no experience necessary, no one gets left behind
Email prevention_outreach@stonybrook.edu for accessibility needs"
Queer and Crafts Affinity Group,"Monday, February 24 at 5:00PM EST",LGBTQ* Center,LGBTQ* Services,https://stonybrook.campuslabs.com/engage/event/11051919,"Come join LGBTQ* Services every Monday from 5 to 6:30PM for a different craft each week!
The LGBTQ* Center is located above West Side Dining.

Affinity groups are not meant as a replacement for counseling services. This space is NOT open for research or observation.
Please contact LGBTQ* Services at lgbtqservices@stonybrook.edu or (631) 632-1690 for any accessibility needs or concerns."
Professional Development: Fellowships & Summer Research Programs,"Monday, February 24 at 5:30PM EST",Chemistry Building 412,American Chemical Society,https://stonybrook.campuslabs.com/engage/event/11095868,"Join the American Chemical Society (ACS) for an Exclusive Session on Securing Research Programs and Fellowships!
Ready to advance your research career? Discover key strategies to stand out and land competitive research opportunities and fellowships. Get expert advice on crafting your application, building your network, and making a lasting impact in the scientific community. Don’t miss out on this chance to unlock your future in research!"
GBM #9: :Anti-Aging,"Monday, February 24 at 6:00PM EST",SAC 304,Bioethics Society,https://stonybrook.campuslabs.com/engage/event/11083543,"Join us for a thought-provoking discussion on the ethics and science of anti-aging research, exploring its implications for medicine, society, and longevity."
GBM 2: Game Night,"Monday, February 24 at 6:00PM EST",SAC 305,The Humanology Project,https://stonybrook.campuslabs.com/engage/event/11044789,"Join the Humanology Project on Monday, February 24th in SAC 305 from 6-7pm for a fun night of board games while learning about mental wellness!"
Game Night: Family Feud,"Monday, February 24 at 5:30PM EST",DeVries Center 200-202,LGBTQ* Services,https://stonybrook.campuslabs.com/engage/event/11055301,"Join LGBTQ* Services for a fun-filled night of Family Feud, with answers provided by Stony Brook's very own student and alumni community! Whether you're a contestant or watching in the audience, you'll make a lot of fun memories. Snacks and refreshments will be provided, as well as prizes for Family Feud winners. RSVP now!"
PPGA E-Board Meeting,"Monday, February 24 at 7:00PM EST",Union 203-11,Planned Parenthood Generation Action at Stony Brook University,https://stonybrook.campuslabs.com/engage/event/10957362,"Planned Parenthood Generation Action executive board meeting to discuss upcoming GBMs, events, etc.!"
Embroidery at SBU: GBM,"Monday, February 24 at 7:00PM EST",Library N3063,Embroidery at SBU,https://stonybrook.campuslabs.com/engage/event/11040618,"Come by to work on your very own embroidery project. Personal fabric items are welcome, provided supplies are limited."
General Body Meeting,"Monday, February 24 at 7:00PM EST",Humanities Building,College Socialists,https://stonybrook.campuslabs.com/engage/event/10957392,"The General Body Meeting for the College Socialists of Stony Brook University! Subject matter for each meeting can vary from general political advocacy, and political education, to campus activism. Come on right in!"
ASBO GBM,"Monday, February 24 at 7:00PM EST",Frey 309,Alternative Spring Break Outreach,https://stonybrook.campuslabs.com/engage/event/10943864,"Please join us for our weekly spring general body meetings. We will discuss our spring break trip plans and learn about the amazing things volunteering has to offer. Here, you will meet like-minded people who enjoy helping others and making friends along the way. And when our spring break trip is over there will still be a lot of fun things to do during our meetings!"
AIChE ChemE Jeopardy Weekly Meetings,"Monday, February 24 at 7:00PM EST",ESS 177,American Institute of Chemical Engineers,https://stonybrook.campuslabs.com/engage/event/11044772,AIChE's ChemE Jeopardy team will be practicing for the national and regional ChemE Jeopardy competitions.
MUN Weekly GBM,"Monday, February 24 at 7:00PM EST",Javits 101,Model United Nations,https://stonybrook.campuslabs.com/engage/event/11050721,Join MUN in our weekly GBM! During these GBM's we will discuss current events through the United Nations format!
University Affairs Committee,"Monday, February 24 at 6:30PM EST",USG Suite Conference Room SAC 202,Undergraduate Student Government ,https://stonybrook.campuslabs.com/engage/event/10801883,"University Affairs Committee of the Undergraduate Student Government. The committee meets every Monday from 6:30-8:30pm unless otherwise noted (i.e University Senate dates, cancelled on holidays and breaks). The committee manages the Senate Line and any funding requests from Senate Line that come forward for Senator initiatives. The University Affairs Committee also works to promote university and academic-wide policies and services that benefit the undergraduate student body.  The Committee reviews campus-wide issues and creates tangible steps to enhance undergraduate student quality of life, and invites guest speakers from various departments across the University for discussion. This meeting is public and takes place in the USG Conference Room in the USG Suite (SAC 202), anyone can attend and observe the meeting--a Zoom link is also available. Meeting minutes will be posted from each meeting on the USG website for public viewing to adhere to open meetings law."
Coffee and Culture,"Monday, February 24 at 7:00PM EST",SAC 306,Arabic Language and Culture Club,https://stonybrook.campuslabs.com/engage/event/10757769,"The Arabic Language and Culture Club is hosting ""Coffee & Culture"". Stop by to learn more about the significance of coffee in Arab culture, while enjoying some Yemeni coffee and pastries from Qahwah House!
*While supplies last!"
FTA Teacher Meet and Greet Event,"Monday, February 24 at 8:00PM EST",Frey 201,Future Teachers Association ,https://stonybrook.campuslabs.com/engage/event/11068175,"Come join us for our GBM; we will make teacher classroom picture frames!
Come learn more about FTA and connect with others in the same field
"
Tarot 101: Interpreting and Reading,"Monday, February 24 at 8:00PM EST",SAC 303,Pagan Student Society,https://stonybrook.campuslabs.com/engage/event/11082715,"Join us for the second installment of our event series about tarot, and learn to understand how to connect themes and interpret your fortune from the cards.
PSS GBMs:
Open to everyone wanting to learn and share community with other Pagans on campus!"
Hero Fundraiser,"Monday, February 24 at 7:00PM EST",Student Union - Ballroom 203-20,Wolfiethon ,https://stonybrook.campuslabs.com/engage/event/11066293,A B+ Hero family will come and share their story and it'll be a fundraiser dinner. Open to everyone
